,corruption,level,method,acc,ll
357,elastic_transform,1,SM (Full),0.68578,-1.328214
358,elastic_transform,1,BN,0.68672,-1.3205415
359,pixelate,1,Baseline,0.70044,-1.2478166
360,pixelate,1,SM (Full),0.7247,-1.1453179
361,pixelate,1,BN,0.73076,-1.1149542
362,jpeg_compression,1,Baseline,0.6706,-1.4220818
363,jpeg_compression,1,SM (Full),0.69744,-1.2678756
364,jpeg_compression,1,BN,0.70136,-1.2344451
365,gaussian_blur,1,Baseline,0.68342,-1.3293989
366,gaussian_blur,1,SM (Full),0.72478,-1.1484814
367,gaussian_blur,1,BN,0.71926,-1.1562378
368,gaussian_noise,2,Baseline,0.54888,-2.1502326
369,gaussian_noise,2,SM (Full),0.6232,-1.6474534
370,gaussian_noise,2,BN,0.62312,-1.6281571
371,shot_noise,2,Baseline,0.5137,-2.380242
372,shot_noise,2,SM (Full),0.6181,-1.6795751
373,shot_noise,2,BN,0.60434,-1.7399415
374,impulse_noise,2,Baseline,0.45464,-2.7903872
375,impulse_noise,2,SM (Full),0.55848,-1.9888253
376,impulse_noise,2,BN,0.56526,-1.9343793
377,defocus_blur,2,Baseline,0.53128,-2.1182394
378,defocus_blur,2,SM (Full),0.5968,-1.7853006
379,defocus_blur,2,BN,0.5722,-1.8704563
380,glass_blur,2,Baseline,0.40954,-2.9761064
381,glass_blur,2,SM (Full),0.5471,-2.0475652
382,glass_blur,2,BN,0.54862,-2.0169606
383,motion_blur,2,Baseline,0.5512,-2.0661983
384,motion_blur,2,SM (Full),0.70708,-1.2346997
385,motion_blur,2,BN,0.6883,-1.3030413
386,zoom_blur,2,Baseline,0.418,-3.003932
387,zoom_blur,2,SM (Full),0.6551,-1.4673918
388,zoom_blur,2,BN,0.57434,-1.8536444
389,snow,2,Baseline,0.34266,-3.8310704
390,snow,2,SM (Full),0.54286,-2.1097882
391,snow,2,BN,0.51322,-2.2948437
392,frost,2,Baseline,0.469,-2.7284553
393,frost,2,SM (Full),0.56282,-2.0154603
394,frost,2,BN,0.55294,-2.076195
395,fog,2,Baseline,0.61376,-1.7249756
396,fog,2,SM (Full),0.71124,-1.2052741
397,fog,2,BN,0.70478,-1.2180583
398,brightness,2,Baseline,0.72392,-1.1754686
399,brightness,2,SM (Full),0.72466,-1.1476585
400,brightness,2,BN,0.73088,-1.1207529
401,contrast,2,Baseline,0.60654,-1.7628208
402,contrast,2,SM (Full),0.72164,-1.1542677
403,contrast,2,BN,0.71016,-1.2027622
404,elastic_transform,2,Baseline,0.44128,-3.0710678
405,elastic_transform,2,SM (Full),0.5149,-2.3832104
406,elastic_transform,2,BN,0.50764,-2.3954709
407,pixelate,2,Baseline,0.6722,-1.3882757
408,pixelate,2,SM (Full),0.71228,-1.2039018
409,pixelate,2,BN,0.71576,-1.1730291
410,jpeg_compression,2,Baseline,0.64476,-1.5558769
411,jpeg_compression,2,SM (Full),0.67388,-1.3787304
412,jpeg_compression,2,BN,0.6783,-1.3549943
413,gaussian_blur,2,Baseline,0.56148,-1.9548413
414,gaussian_blur,2,SM (Full),0.59726,-1.7793587
415,gaussian_blur,2,BN,0.608,-1.693794
416,gaussian_noise,3,Baseline,0.38884,-3.2859492
417,gaussian_noise,3,SM (Full),0.53478,-2.1409874
418,gaussian_noise,3,BN,0.52044,-2.2080486
419,shot_noise,3,Baseline,0.36004,-3.580183
420,shot_noise,3,SM (Full),0.53878,-2.121068
421,shot_noise,3,BN,0.50786,-2.3084528
422,impulse_noise,3,Baseline,0.367,-3.4761336
423,impulse_noise,3,SM (Full),0.50548,-2.3140059
424,impulse_noise,3,BN,0.50952,-2.2731574
425,defocus_blur,3,Baseline,0.38936,-2.9848711
426,defocus_blur,3,SM (Full),0.43974,-2.7133586
427,defocus_blur,3,BN,0.40586,-2.8535855
428,glass_blur,3,Baseline,0.1709,-5.3004193
429,glass_blur,3,SM (Full),0.35064,-3.3086517
430,glass_blur,3,BN,0.35392,-3.2607484
431,motion_blur,3,Baseline,0.3667,-3.336976
432,motion_blur,3,SM (Full),0.66452,-1.4277315
433,motion_blur,3,BN,0.61844,-1.6436737
434,zoom_blur,3,Baseline,0.35134,-3.5209
435,zoom_blur,3,SM (Full),0.63736,-1.5608187
436,zoom_blur,3,BN,0.5402,-2.0465064
437,snow,3,Baseline,0.36434,-3.7051518
438,snow,3,SM (Full),0.53478,-2.1600099
439,snow,3,BN,0.5035,-2.3281481
440,frost,3,Baseline,0.3506,-3.6544077
441,frost,3,SM (Full),0.48386,-2.4988594
442,frost,3,BN,0.46784,-2.6076913
443,fog,3,Baseline,0.56034,-2.0185068
444,fog,3,SM (Full),0.69558,-1.2700127
445,fog,3,BN,0.68502,-1.3048449
446,brightness,3,Baseline,0.69438,-1.31632
447,brightness,3,SM (Full),0.71108,-1.2161716
448,brightness,3,BN,0.71428,-1.1893224
449,contrast,3,Baseline,0.49682,-2.4261246
450,contrast,3,SM (Full),0.70888,-1.2109764
451,contrast,3,BN,0.68094,-1.3317587
452,elastic_transform,3,Baseline,0.57312,-2.0081158
453,elastic_transform,3,SM (Full),0.68118,-1.3495663
454,elastic_transform,3,BN,0.67396,-1.3865619
455,pixelate,3,Baseline,0.6264,-1.6254562
456,pixelate,3,SM (Full),0.65584,-1.4668614
457,pixelate,3,BN,0.68834,-1.3018893
458,jpeg_compression,3,Baseline,0.62538,-1.6655642
459,jpeg_compression,3,SM (Full),0.65578,-1.470029
460,jpeg_compression,3,BN,0.65724,-1.4581617
461,gaussian_blur,3,Baseline,0.4289,-2.7395399
462,gaussian_blur,3,SM (Full),0.4357,-2.7453308
463,gaussian_blur,3,BN,0.43918,-2.6365159
464,gaussian_noise,4,Baseline,0.19138,-5.456345
465,gaussian_noise,4,SM (Full),0.41288,-2.9169986
466,gaussian_noise,4,BN,0.3786,-3.1106045
467,shot_noise,4,Baseline,0.1418,-6.5481787
468,shot_noise,4,SM (Full),0.39894,-3.0192804
469,shot_noise,4,BN,0.34106,-3.4600108
470,impulse_noise,4,Baseline,0.17,-5.7833138
471,impulse_noise,4,SM (Full),0.37642,-3.1862504
472,impulse_noise,4,BN,0.36586,-3.1898375
473,defocus_blur,4,Baseline,0.27184,-3.8662703
474,defocus_blur,4,SM (Full),0.32598,-3.5300767
475,defocus_blur,4,BN,0.2682,-3.8251064
476,glass_blur,4,Baseline,0.12606,-5.8589497
477,glass_blur,4,SM (Full),0.27534,-3.8832228
478,glass_blur,4,BN,0.27508,-3.7980993
479,motion_blur,4,Baseline,0.19058,-5.0473104
480,motion_blur,4,SM (Full),0.60004,-1.7647855
481,motion_blur,4,BN,0.51226,-2.2124567
482,zoom_blur,4,Baseline,0.28144,-4.1419973
483,zoom_blur,4,SM (Full),0.61188,-1.7032354
484,zoom_blur,4,BN,0.48894,-2.3505116
485,snow,4,Baseline,0.24564,-4.858527
486,snow,4,SM (Full),0.44938,-2.6862228
487,snow,4,BN,0.41278,-2.9099169
488,frost,4,Baseline,0.32946,-3.8906262
489,frost,4,SM (Full),0.47134,-2.58168
490,frost,4,BN,0.45654,-2.6870232
491,fog,4,Baseline,0.53544,-2.1795352
492,fog,4,SM (Full),0.68164,-1.3456106
493,fog,4,BN,0.67184,-1.3714206
494,brightness,4,Baseline,0.65014,-1.5411032
495,brightness,4,SM (Full),0.68914,-1.3153807
496,brightness,4,BN,0.692,-1.2927709
497,contrast,4,Baseline,0.26116,-4.227257
498,contrast,4,SM (Full),0.66832,-1.4190866
499,contrast,4,BN,0.58644,-1.8293797
500,elastic_transform,4,Baseline,0.43584,-3.022717
501,elastic_transform,4,SM (Full),0.6371,-1.579079
502,elastic_transform,4,BN,0.61994,-1.6645478
503,pixelate,4,Baseline,0.56754,-1.9580418
504,pixelate,4,SM (Full),0.5269,-2.1726673
505,pixelate,4,BN,0.62248,-1.6112258
506,jpeg_compression,4,Baseline,0.55686,-2.0548956
507,jpeg_compression,4,SM (Full),0.59696,-1.7867498
508,jpeg_compression,4,BN,0.58314,-1.8345462
509,gaussian_blur,4,Baseline,0.30252,-3.6498327
510,gaussian_blur,4,SM (Full),0.30956,-3.6692393
511,gaussian_blur,4,BN,0.28666,-3.6840768
512,gaussian_noise,5,Baseline,0.04516,-9.211263
513,gaussian_noise,5,SM (Full),0.24844,-4.1669893
